Partlist exported from C:/Users/mc041/OneDrive/Documents/EAGLE/projects/FLYTE_3.0/FLYTE_3.0.sch at 01-09-2024 17:35

Qty Value               Device                  Package                    Parts                                                                                            Description                                                                                                                                                                                                                                                    AVAILABILITY CENTERLINE_PITCH CHECK_PRICES                                                                              COMMENT  CUI_PURCHASE_URL                                                                                                                                       DESCRIPTION                                                                                                                                                               ELEMENT14_PART_NUMBER ELEMENT14_PRICE-STOCK EU_ROHS_COMPLIANCE        HEIGHT  MANUFACTURER MANUFACTURER_NAME  MANUFACTURER_PART_NUMBER MAXIMUM_PACKAGE_HEIGHT MF                    MP                  MPN NUMBER_OF_POSITIONS OC_FARNELL OC_NEWARK PACKAGE                       PARTREV  POPULARITY PRICE  PURCHASE-URL                                                                                                                                           SNAPEDA_LINK                                                                               SNAPEDA_PN          STANDARD                    
9                       LED.0603                0603.LED                   D3, D4, D5, D6, D7, D9, D11, D12, LED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   33 nH               RF-INDUCTOR.0603        0603                       L5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1   36.5k ohm           RESISTOR.0603           0603                       R74                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
9   4.7 uF              CAPACITOR.0603          0603                       C4, C57, C62, C69, C76, C83, C90, C103, C109                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
8   4.7 uH              RF-INDUCTOR.0603        0603                       L9, L10, L11, L12, L13, L14, L15, L16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4   402k ohm            RESISTOR.0603           0603                       R40, R47, R51, R55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
1   412k ohm            RESISTOR.0603           0603                       R16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   43k ohm             RESISTOR.0603           0603                       R76                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
6   46.4k ohm           RESISTOR.0603           0603                       R22, R32, R38, R45, R49, R53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
3   47 pF               CAPACITOR.0603          0603                       C45, C52, C53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
1   470 pF              CAPACITOR.0603          0603                       C28                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2   5.1k ohm            RESISTOR.0603           0603                       R6, R7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
3   5.6 nH              RF-INDUCTOR.0603        0603                       L3, L4, L7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1   503182-1852         503182-1852             5031821852                 J6                                                                                               Micro SD Normal UltraLowPro8CktEmbsTpPkg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Micro SD Normal UltraLowPro8CktEmbsTpPkg                                                                                                                                                                                                        mm                   Molex              503182-1852                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
4   50k ohm             RESISTOR.0603           0603                       R44, R48, R52, R56                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2   523k ohm            RESISTOR.0603           0603                       R24, R35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
3   60 ohm              RESISTOR.0603           0603                       R2, R19, R58                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2   8.2 pF              CAPACITOR.0603          0603                       C46, C48                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2   ADS1115IDGSR        ADS1115IDGSR            SOP50P490X110-10N          U6, U9                                                                                           Check availability                                                                                                                                                                                                                                             In Stock                      https://www.snapeda.com/parts/ADS1115IDGSR/Texas+Instruments/view-part/?ref=eda                                                                                                                                                                            16-bit, 860-SPS, 4-channel, delta-sigma ADC with PGA, oscillator, VREF, comparator and I2C                                                                                                                                                                                                                                             Texas Instruments     ADS1115IDGSR                                                     VSSOP-10 Texas Instruments                        None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=45903&manufacturer=Texas Instruments&part_name=ADS1115IDGSR&search_term=ads1115         https://www.snapeda.com/parts/ADS1115IDGSR/Texas+Instruments/view-part/?ref=snap                                                           
2   AS179-92LF          AS179-92LF              SOT65P220X100-6N           IC3, IC4                                                                                         SKYWORKS SOLUTIONS - AS179-92LF - IC, SWITCH, RF, SPDT, 0.02-3.0GHZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    SKYWORKS SOLUTIONS - AS179-92LF - IC, SWITCH, RF, SPDT, 0.02-3.0GHZ                                                                                                                                                                             1mm                  Skyworks           AS179-92LF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2   ASE                 ASE                     ASE                        32XO, XTAL                                                                                       3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         unknown    unknown                                          2                                                                                                                                                                                                                                                                                                                   
2   B2B-XH-A(LF)(SN)    B2B-XH-A(LF)(SN)        JST_B2B-XH-A(LF)(SN)       J10, J11                                                                                         Check availability                                                                                                                                                                                                                                             In Stock                      https://www.snapeda.com/parts/B2B-XH-A(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=eda                                                                                                                                                                   Connector Header Through Hole 2 position 0.098 (2.50mm)                                                                                                                                                                                                                                                                                JST Sales             B2B-XH-A(LF)(SN)                                                 None                                              None                                                                                                                                                          https://www.snapeda.com/parts/B2B-XH-A(LF)(SN)/JST+Sales+America+Inc./view-part/?ref=snap                                                  
1   BGA725L6            BGA725L6E6327FTSA1      AMP_BGA725L6E6327FTSA1     LNA                                                                                              IC AMP GPS 1.55-1.615GHZ TSLP6-2 Check availability                                                                                                                                                                                                            In Stock                      https://www.snapeda.com/parts/BGA725L6E6327FTSA1/Infineon+Technologies/view-part/?ref=eda                                                                                                                                                                  The BGA725L6 is a front-end low noise amplifier for Global Navigation Satellite Systems (GNSS) from 1550 MHz to 1615 MHz like GPS, GLONASS, Beidou, Galileo and others.                                                                                                                                                                Infineon Technologies BGA725L6E6327FTSA1                                               XFDFN-6 Infineon Technologies                     None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=426432&manufacturer=Infineon Technologies&part_name=BGA725L6E6327FTSA1&search_term=None https://www.snapeda.com/parts/BGA725L6E6327FTSA1/Infineon+Technologies/view-part/?ref=snap                                                 
1   BMP280              BMP280                  BMP280                     IC1                                                                                              The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. The sensor module is housed in an extremely compact 8-pin metal-lid LGA package with a footprint of only 2.0 × 2.5 mm2 and 0.95 mm package height. Its small                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
1   BNO055              BNO055                  LGA28R50P4X10_380X520X100  U1                                                                                               BNO055 9-axis Absolute Orientation Sensor ( SiP ) w/Sensors and Sensor Fusion Check availability                                                                                                                                                               In Stock                      https://www.snapeda.com/parts/BNO055/Bosch+Sensortec/view-part/?ref=eda                                                                                                                                                                                    BNO055 series Accelerometer, Gyroscope, Magnetometer, 3 Axis Sensor Evaluation Board                                                                                                                                                                                                                                                   Bosch                 BNO055                                                           LGA-28 Bosch                                      None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=51961&manufacturer=Bosch&part_name=BNO055&search_term=None                              https://www.snapeda.com/parts/BNO055/Bosch+Sensortec/view-part/?ref=snap                                                                   
1   BUZZER              CMT-8530S-SMT           CUI_CMT-8530S-SMT          BUZZER                                                                                           8.5 mm, 3.6 Vo-p, 90 dB, Surface Mount (SMT), Magnetic Audio Transducer Buzzer Check availability                                                                                                                                                              In Stock                      https://www.snapeda.com/parts/CMT-8530S-SMT-TR/CUI+Devices/view-part/?ref=eda                      https://www.cuidevices.com/product/audio/buzzers/audio-transducers/cmt-8530s-smt-tr?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM 8.5 mm, 3.6 Vo-p, 90 dB, Surface Mount (SMT), Magnetic Audio Transducer Buzzer                                                                                                                                                                                                                                                          CUI Devices           CMT-8530S-SMT-TR                                                 None                                              None   https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=649163&manufacturer=CUI Devices&part_name=CMT-8530S-SMT-TR&search_term=None             https://www.snapeda.com/parts/CMT-8530S-SMT-TR/CUI+Devices/view-part/?ref=snap                                                             
4   CJ3400              BS170F                  SOT91P240X120-3N           U2, U3, U5, U7                                                                                   DMOS FET Check availability                                                                                                                                                                                                                                    In Stock                      https://www.snapeda.com/parts/BS170F/Diodes+Inc./view-part/?ref=eda                                                                                                                                                                                        N-Channel 60 V 150µA (Ta) 330mW (Ta) Surface Mount SOT-23-3                                                                                                                                                                                                                                                                            Diodes Inc.           BS170F                                                           SOT-23 Multicomp                                  None                                                                                                                                                          https://www.snapeda.com/parts/BS170F/Diodes+Inc./view-part/?ref=snap                                                                       
